A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
1.0,24.50,2.415,3.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1
2.0,24.08,,2.0,,10.0,8.0,0.085,0.0,,4.0,0.0,0.0,00254,1950.0,1
2.0,21.92,0.5,2.0,1.0,2.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,00360,0.0,1
1.0,36.58,0.29,,,6.0,3.0,,0.0,,10.0,,,00200,,1
1.0,23.00,,2.0,1.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,,00200,53.0,1
1.0,27.58,,2.0,,10.0,8.0,2.79,0.0,1.0,,1.0,,00280,10.0,1
2.0,,,2.0,1.0,2.0,8.0,2.5,,,2.0,1.0,0.0,00160,41.0,1
1.0,30.42,1.375,2.0,1.0,13.0,4.0,0.04,0.0,1.0,3.0,0.0,0.0,00000,,1
2.0,,2.335,2.0,1.0,9.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,00180,,1
2.0,16.33,4.085,2.0,1.0,7.0,4.0,0.415,0.0,0.0,0.0,1.0,0.0,00120,0.0,1
1.0,21.92,11.665,2.0,1.0,9.0,4.0,0.085,0.0,0.0,,0.0,0.0,00320,5.0,1
2.0,21.08,4.125,,3.0,7.0,,,0.0,0.0,0.0,0.0,0.0,00140,100.0,1
2.0,17.42,6.5,,1.0,7.0,8.0,0.125,,0.0,0.0,0.0,0.0,,100.0,1
2.0,19.17,4.0,3.0,3.0,7.0,8.0,,0.0,0.0,0.0,1.0,0.0,00360,1000.0,1
,20.67,0.415,2.0,1.0,,8.0,0.125,0.0,0.0,0.0,,0.0,00000,,1
2.0,26.75,2.0,2.0,1.0,4.0,,,0.0,0.0,0.0,1.0,0.0,00080,0.0,1
,23.58,0.835,2.0,1.0,7.0,4.0,0.085,,,0.0,1.0,0.0,00220,,1
2.0,,2.5,3.0,3.0,7.0,,10.0,,0.0,0.0,,2.0,00200,0.0,1
2.0,22.75,11.5,,,,8.0,,0.0,0.0,0.0,0.0,0.0,00000,0.0,1
0.0,,2.71,3.0,3.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,2.0,,0.0,1
1.0,16.92,0.5,,1.0,7.0,8.0,0.165,0.0,1.0,6.0,1.0,0.0,00240,,1
,23.50,3.165,3.0,3.0,9.0,8.0,,0.0,1.0,,1.0,0.0,00280,80.0,1
1.0,17.33,9.5,2.0,1.0,1.0,,1.75,0.0,1.0,10.0,,0.0,00000,10.0,1
2.0,23.75,0.415,,3.0,2.0,8.0,0.04,,,2.0,0.0,0.0,00128,6.0,1
2.0,34.67,1.08,2.0,1.0,10.0,8.0,1.165,,0.0,,,2.0,00028,0.0,1
2.0,74.83,19.0,3.0,3.0,6.0,3.0,,0.0,1.0,2.0,0.0,0.0,00000,351.0,1
,,0.125,,3.0,9.0,8.0,0.085,0.0,0.0,0.0,0.0,,00216,2100.0,1
,24.50,13.335,3.0,3.0,,,0.04,0.0,0.0,0.0,1.0,0.0,,475.0,1
,18.83,,3.0,3.0,,3.0,0.0,,0.0,,,0.0,00180,1.0,1
,45.33,1.0,,,11.0,8.0,0.125,0.0,0.0,0.0,1.0,0.0,,0.0,1
1.0,47.25,0.75,2.0,,11.0,,2.75,1.0,1.0,1.0,0.0,0.0,00333,,0
,24.17,0.875,2.0,1.0,,8.0,4.625,1.0,1.0,2.0,1.0,0.0,,2000.0,0
2.0,,,2.0,1.0,,,6.5,1.0,1.0,14.0,0.0,0.0,00240,4607.0,0
1.0,,11.835,2.0,,,,6.0,1.0,,0.0,0.0,0.0,,0.0,0
,,4.415,3.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,00240,0.0,0
2.0,19.17,,2.0,1.0,13.0,8.0,,1.0,0.0,,0.0,0.0,,,0
,25.00,0.875,,1.0,14.0,4.0,,1.0,0.0,0.0,1.0,0.0,,5860.0,0
2.0,20.17,9.25,2.0,1.0,2.0,8.0,1.665,,1.0,3.0,1.0,0.0,00040,28.0,0
2.0,25.75,0.5,2.0,1.0,2.0,8.0,,1.0,1.0,5.0,1.0,0.0,,,0
,20.42,7.0,2.0,,2.0,8.0,1.625,1.0,1.0,3.0,0.0,0.0,00200,1391.0,0
2.0,0,4.0,2.0,1.0,14.0,8.0,5.0,1.0,1.0,3.0,1.0,0.0,00290,2279.0,0
2.0,39.00,5.0,2.0,1.0,3.0,,3.5,,,10.0,1.0,0.0,00000,0.0,0
1.0,64.08,0.165,2.0,1.0,6.0,3.0,0.0,1.0,1.0,,0.0,0.0,00232,100.0,0
2.0,,5.125,2.0,,14.0,8.0,4.75,1.0,1.0,2.0,,0.0,,7.0,0
,28.75,3.75,,,2.0,8.0,1.085,,1.0,1.0,,0.0,00371,0.0,0
2.0,31.33,19.5,2.0,1.0,2.0,,7.0,1.0,1.0,16.0,0.0,,00000,,0
1.0,18.92,9.0,2.0,1.0,1.0,8.0,,1.0,,2.0,,0.0,00088,591.0,0
1.0,,3.0,,1.0,11.0,4.0,,1.0,1.0,19.0,0.0,,00000,500.0,0
1.0,,12.0,2.0,,,8.0,2.0,1.0,1.0,,0.0,0.0,00220,19.0,0
2.0,21.00,4.79,3.0,3.0,13.0,,2.25,1.0,1.0,,1.0,0.0,00080,,0
2.0,,4.0,3.0,3.0,13.0,8.0,1.75,1.0,1.0,2.0,1.0,0.0,00120,1000.0,0
1.0,46.00,,2.0,1.0,8.0,,0.0,1.0,0.0,0.0,,0.0,00100,960.0,0
1.0,44.33,0.0,2.0,,2.0,8.0,,1.0,0.0,0.0,0.0,,00000,0.0,0
2.0,20.25,9.96,2.0,1.0,5.0,,,1.0,0.0,0.0,0.0,0.0,00000,0.0,0
2.0,22.67,2.54,,3.0,2.0,4.0,2.585,1.0,0.0,,0.0,0.0,00000,0.0,0
2.0,0,,,,14.0,,6.5,1.0,0.0,0.0,0.0,0.0,,,0
,60.92,5.0,2.0,1.0,1.0,8.0,,1.0,1.0,4.0,0.0,0.0,,99.0,0
,16.08,0.75,2.0,1.0,2.0,8.0,,1.0,1.0,5.0,1.0,,00352,690.0,0
,28.17,0.375,2.0,,11.0,8.0,,1.0,,4.0,,,00080,,0
2.0,39.17,,,1.0,14.0,8.0,0.125,1.0,1.0,5.0,1.0,0.0,00480,0.0,0
,20.42,7.5,2.0,,9.0,8.0,1.5,,1.0,1.0,0.0,0.0,00160,234.0,0
1.0,,5.29,2.0,,5.0,2.0,2.25,1.0,,5.0,,0.0,00099,500.0,0
2.0,22.83,3.0,2.0,,10.0,,1.29,1.0,1.0,,0.0,0.0,00260,,0
1.0,22.50,8.5,,1.0,11.0,8.0,1.75,1.0,,10.0,,0.0,00080,990.0,1
1.0,28.58,1.665,2.0,1.0,11.0,8.0,2.415,1.0,,,1.0,0.0,00440,0.0,1
,45.17,1.5,2.0,1.0,2.0,,2.5,1.0,0.0,,,,00140,0.0,1
2.0,41.58,1.75,2.0,1.0,9.0,8.0,0.21,1.0,,,0.0,0.0,00160,0.0,1
,57.08,0.335,2.0,,7.0,1.0,1.0,,,,,0.0,00252,2197.0,1
1.0,55.75,7.08,2.0,,,,6.75,1.0,1.0,3.0,1.0,0.0,00100,50.0,1
2.0,43.25,,2.0,1.0,11.0,4.0,0.21,,1.0,1.0,,0.0,00760,90.0,1
1.0,25.33,2.085,2.0,,2.0,4.0,,1.0,0.0,,1.0,0.0,00360,,1
1.0,24.58,,2.0,,1.0,4.0,1.75,1.0,0.0,0.0,0.0,0.0,00400,0.0,1
,43.17,2.25,2.0,1.0,7.0,1.0,0.75,1.0,0.0,,0.0,,00560,0.0,1
2.0,40.92,0.835,2.0,,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,00130,1.0,1
,31.83,,2.0,,1.0,8.0,7.5,,,,,,00523,0.0,1
1.0,33.92,1.585,3.0,,6.0,3.0,,1.0,,0.0,,,00320,0.0,1
1.0,24.92,1.25,,,,3.0,0.0,1.0,,,0.0,,00080,0.0,1
2.0,,,2.0,1.0,,4.0,3.75,,0.0,0.0,1.0,0.0,,0.0,1
2.0,34.25,1.75,,,,1.0,,1.0,0.0,0.0,,0.0,00163,0.0,1
,80.25,5.5,2.0,1.0,0.0,,0.54,1.0,0.0,0.0,0.0,0.0,00000,340.0,1
2.0,,,3.0,3.0,3.0,8.0,2.0,1.0,0.0,0.0,,,00100,,1
2.0,42.75,3.0,2.0,,7.0,1.0,,1.0,0.0,0.0,0.0,0.0,00000,200.0,1
2.0,,10.0,3.0,3.0,9.0,,0.835,1.0,0.0,0.0,,,,,1
2.0,36.33,3.79,2.0,1.0,13.0,8.0,1.165,,,0.0,1.0,0.0,,0.0,1
2.0,30.08,1.04,3.0,3.0,7.0,1.0,0.5,,,,1.0,,00132,28.0,1
,44.25,11.0,3.0,3.0,4.0,8.0,1.5,1.0,,,0.0,2.0,00000,0.0,1
2.0,23.58,0.46,3.0,3.0,13.0,,,1.0,1.0,,1.0,0.0,00208,,1
2.0,23.92,1.5,,1.0,,4.0,1.875,1.0,,6.0,0.0,0.0,,,0
2.0,,,2.0,1.0,,8.0,0.75,1.0,1.0,,1.0,0.0,00340,4071.0,0
2.0,48.33,12.0,2.0,1.0,10.0,8.0,16.0,1.0,0.0,0.0,0.0,2.0,00110,0.0,0
2.0,76.75,22.29,2.0,1.0,5.0,,12.75,1.0,1.0,1.0,1.0,0.0,00000,109.0,0
,51.33,10.0,2.0,,7.0,1.0,,1.0,,11.0,0.0,,00000,1249.0,0
2.0,,15.0,2.0,1.0,12.0,6.0,5.375,1.0,,9.0,1.0,0.0,00000,134.0,0
2.0,,3.335,,,13.0,8.0,4.0,,1.0,,0.0,0.0,00383,1344.0,0
1.0,,11.25,,,14.0,4.0,0.75,1.0,1.0,4.0,0.0,0.0,00000,321.0,0
,,,2.0,1.0,2.0,4.0,0.21,1.0,1.0,6.0,,0.0,00220,948.0,0
2.0,,4.5,2.0,1.0,13.0,,7.5,1.0,1.0,2.0,,0.0,00330,,0
1.0,32.17,1.46,2.0,1.0,13.0,8.0,1.085,1.0,,,0.0,0.0,00120,2079.0,0
2.0,51.42,0.04,2.0,1.0,,4.0,0.04,1.0,0.0,0.0,0.0,0.0,00000,3000.0,0
1.0,22.83,,2.0,1.0,11.0,,2.29,1.0,,,1.0,,00140,2384.0,0
1.0,25.00,,2.0,1.0,3.0,4.0,3.5,1.0,1.0,6.0,0.0,0.0,00400,,0
2.0,,1.125,2.0,1.0,14.0,4.0,1.25,1.0,0.0,0.0,,0.0,00000,5298.0,0
2.0,23.33,,,1.0,2.0,4.0,1.415,1.0,0.0,0.0,0.0,0.0,00422,200.0,0
2.0,24.42,12.335,2.0,1.0,11.0,4.0,,,0.0,0.0,1.0,0.0,00120,0.0,0
,42.17,5.04,2.0,1.0,11.0,4.0,,1.0,,,1.0,0.0,00092,0.0,0
,,3.0,2.0,1.0,,8.0,0.04,1.0,0.0,0.0,0.0,,00100,0.0,0
2.0,,,2.0,1.0,13.0,,2.125,,,11.0,1.0,0.0,00290,284.0,0
1.0,25.17,2.875,,1.0,14.0,4.0,0.875,1.0,0.0,,0.0,0.0,,,0
,,0.375,3.0,,2.0,8.0,0.375,1.0,1.0,8.0,1.0,,,162.0,0
1.0,35.75,0.915,,1.0,1.0,8.0,0.75,1.0,1.0,4.0,0.0,0.0,00000,1583.0,0
2.0,59.50,,2.0,1.0,13.0,8.0,1.75,1.0,1.0,,1.0,0.0,00060,,0
2.0,21.00,3.0,,3.0,4.0,8.0,1.085,1.0,1.0,,1.0,0.0,00160,,0
2.0,,0.54,,3.0,,8.0,,,1.0,1.0,1.0,0.0,00840,59.0,0
1.0,65.17,,2.0,1.0,6.0,3.0,0.0,1.0,,11.0,1.0,0.0,00000,1400.0,0
1.0,20.33,10.0,,1.0,2.0,4.0,,1.0,1.0,4.0,0.0,0.0,,,0
2.0,32.25,0.165,3.0,3.0,2.0,4.0,,1.0,,1.0,1.0,,,,0
2.0,30.17,0.5,,1.0,2.0,8.0,1.75,1.0,1.0,11.0,0.0,0.0,00032,540.0,0
2.0,25.17,6.0,2.0,1.0,2.0,8.0,1.0,1.0,,3.0,,0.0,00000,,0
2.0,39.17,1.625,2.0,,,,1.5,1.0,1.0,,,0.0,00186,4700.0,0
2.0,39.08,6.0,2.0,1.0,10.0,8.0,1.29,1.0,1.0,5.0,1.0,0.0,00108,1097.0,0
2.0,31.67,0.83,2.0,1.0,14.0,8.0,1.335,,1.0,8.0,,0.0,00303,,0
2.0,,0.04,2.0,,5.0,8.0,0.04,0.0,1.0,1.0,0.0,2.0,00560,0.0,0
,48.50,4.25,2.0,1.0,10.0,8.0,0.125,1.0,,,1.0,0.0,00225,,0
2.0,32.67,9.0,3.0,3.0,,4.0,5.25,1.0,0.0,,1.0,0.0,,0.0,0
1.0,28.08,,,3.0,5.0,9.0,0.0,,0.0,0.0,0.0,0.0,,13212.0,0
2.0,,,,1.0,6.0,3.0,0.0,1.0,0.0,,1.0,0.0,,0.0,0
2.0,64.08,,2.0,1.0,14.0,4.0,,1.0,1.0,9.0,1.0,,00000,,0
2.0,51.58,15.0,2.0,1.0,2.0,,8.5,1.0,,9.0,0.0,0.0,00000,0.0,0
2.0,26.67,1.75,3.0,3.0,2.0,8.0,1.0,,1.0,5.0,,0.0,00160,5777.0,0
2.0,25.33,0.58,,1.0,2.0,8.0,0.29,1.0,1.0,7.0,,0.0,00096,5124.0,0
2.0,,,2.0,1.0,3.0,8.0,,1.0,1.0,8.0,,0.0,00330,1200.0,0
2.0,27.00,0.75,2.0,,2.0,4.0,4.25,1.0,1.0,3.0,1.0,,00312,150.0,0
2.0,23.17,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0,0.0,0
2.0,,5.25,2.0,,,8.0,0.085,0.0,0.0,0.0,1.0,0.0,,6.0,0
2.0,38.67,0.21,,1.0,9.0,8.0,,,0.0,0.0,,0.0,00280,0.0,0
2.0,25.75,0.75,2.0,1.0,2.0,1.0,,1.0,,0.0,0.0,,00349,23.0,0
1.0,46.08,,2.0,1.0,2.0,8.0,2.375,1.0,1.0,8.0,1.0,0.0,00396,4159.0,0
1.0,21.50,6.0,2.0,1.0,,8.0,2.5,1.0,1.0,3.0,0.0,0.0,00080,918.0,0
0.0,20.08,0.125,2.0,1.0,11.0,8.0,1.0,0.0,1.0,,,0.0,00240,768.0,0
2.0,20.50,2.415,2.0,1.0,2.0,8.0,2.0,1.0,1.0,,1.0,0.0,00200,3000.0,0
,29.50,,2.0,,9.0,8.0,0.54,,1.0,4.0,0.0,0.0,00380,500.0,0
,,1.75,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,00150,,1
2.0,29.83,1.25,3.0,3.0,9.0,8.0,0.25,0.0,,0.0,0.0,0.0,00224,0.0,1
2.0,,0.25,2.0,1.0,11.0,8.0,0.125,,0.0,,0.0,0.0,00200,0.0,1
2.0,23.42,,2.0,,2.0,4.0,,1.0,0.0,,0.0,,00180,,1
1.0,,1.75,,3.0,9.0,8.0,1.25,0.0,0.0,0.0,1.0,0.0,00280,0.0,1
2.0,16.17,,2.0,1.0,2.0,8.0,0.04,,0.0,0.0,0.0,0.0,00000,0.0,0
2.0,32.33,3.5,2.0,,9.0,,0.5,,0.0,0.0,1.0,0.0,00232,0.0,1
,0,0.04,3.0,,,,4.25,0.0,0.0,0.0,1.0,0.0,00460,0.0,1
,47.83,4.165,2.0,1.0,14.0,1.0,0.085,0.0,0.0,0.0,,,00520,0.0,1
2.0,20.00,1.25,3.0,3.0,9.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,00140,4.0,1
2.0,,3.25,,3.0,11.0,4.0,,0.0,,2.0,1.0,0.0,00369,1.0,1
2.0,22.00,0.79,,,13.0,,0.29,0.0,1.0,1.0,0.0,0.0,00420,,1
2.0,19.33,10.915,,,2.0,,0.585,,1.0,2.0,1.0,0.0,00200,,1
,38.33,4.415,2.0,1.0,,8.0,0.125,0.0,0.0,0.0,0.0,,00160,,1
2.0,29.42,1.25,,1.0,2.0,4.0,,,1.0,2.0,1.0,0.0,00400,108.0,1
2.0,22.67,0.75,2.0,1.0,,8.0,1.585,0.0,1.0,1.0,1.0,0.0,00400,9.0,1
2.0,32.25,,3.0,,6.0,3.0,0.0,0.0,,2.0,0.0,0.0,00160,1.0,1
2.0,29.58,4.75,2.0,1.0,10.0,,2.0,0.0,1.0,1.0,1.0,0.0,00460,,1
,,10.415,3.0,3.0,1.0,8.0,0.125,1.0,0.0,0.0,0.0,0.0,00120,375.0,1
2.0,,,2.0,1.0,7.0,8.0,0.125,0.0,,0.0,0.0,0.0,00160,,1
,,0.165,,,2.0,5.0,2.25,0.0,,0.0,1.0,2.0,00000,0.0,0
,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,0,0.0,0
2.0,18.83,0.0,2.0,1.0,11.0,8.0,0.665,,0.0,,0.0,0.0,00160,1.0,1
2.0,21.58,0.79,3.0,3.0,3.0,8.0,0.665,0.0,,0.0,0.0,0.0,00160,0.0,1
2.0,,12.0,2.0,,2.0,8.0,2.085,,0.0,0.0,,2.0,00080,0.0,1
2.0,22.00,7.835,3.0,3.0,7.0,1.0,0.165,0.0,0.0,0.0,1.0,0.0,0,0.0,1
2.0,36.08,,2.0,1.0,6.0,3.0,0.0,0.0,,0.0,0.0,0.0,00000,1000.0,1
2.0,29.25,,2.0,,,4.0,,0.0,0.0,0.0,0.0,0.0,00228,0.0,1
,,0.665,2.0,1.0,,8.0,1.665,0.0,0.0,0.0,,0.0,00220,5.0,1
1.0,22.92,,2.0,1.0,11.0,8.0,0.25,0.0,,0.0,,0.0,00120,809.0,1
1.0,27.25,0.29,,1.0,,4.0,0.125,0.0,1.0,1.0,1.0,0.0,00272,108.0,1
1.0,38.75,1.5,,1.0,6.0,3.0,,0.0,0.0,0.0,,0.0,00076,,1
2.0,,2.165,3.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,,00120,0.0,1
1.0,23.75,0.71,2.0,,13.0,8.0,0.25,0.0,1.0,1.0,1.0,0.0,00240,4.0,1
2.0,18.17,2.46,2.0,1.0,,,0.96,0.0,,2.0,1.0,0.0,00160,587.0,1
2.0,40.92,0.5,3.0,3.0,10.0,8.0,0.5,0.0,,,1.0,0.0,00130,0.0,1
2.0,19.50,9.585,2.0,1.0,1.0,8.0,0.79,0.0,,,0.0,0.0,00080,350.0,1
2.0,28.58,3.625,,1.0,1.0,,0.25,,,0.0,1.0,,,0.0,1
2.0,35.58,0.75,2.0,,,,,0.0,0.0,0.0,1.0,0.0,00231,0.0,1
2.0,34.17,,2.0,1.0,7.0,,2.5,0.0,,,1.0,0.0,00232,200.0,1
0.0,33.17,2.25,,3.0,3.0,8.0,3.5,0.0,0.0,0.0,1.0,,00200,141.0,1
2.0,31.58,0.75,3.0,3.0,1.0,,,0.0,0.0,0.0,1.0,0.0,00320,0.0,1
,,7.0,,1.0,1.0,4.0,,0.0,0.0,0.0,,0.0,00000,0.0,1
2.0,36.17,0.42,3.0,3.0,13.0,8.0,0.29,0.0,0.0,0.0,,0.0,00309,2.0,1
2.0,37.33,2.665,2.0,1.0,3.0,8.0,0.165,,0.0,0.0,1.0,0.0,00000,501.0,1
1.0,,8.5,2.0,1.0,2.0,8.0,0.165,0.0,,0.0,0.0,0.0,,351.0,1
2.0,,9.0,2.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,00000,0.0,1
2.0,,0.335,2.0,,9.0,,3.5,0.0,,,1.0,0.0,00340,,1
1.0,,,2.0,,6.0,3.0,0.0,0.0,1.0,6.0,,0.0,00000,,1
2.0,48.08,3.75,2.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,00100,2.0,1
1.0,15.83,7.625,2.0,1.0,11.0,8.0,,0.0,1.0,1.0,1.0,0.0,00000,160.0,1
1.0,,0.415,,1.0,,8.0,0.335,0.0,0.0,,1.0,2.0,00144,0.0,1
2.0,21.50,11.5,2.0,1.0,,8.0,0.5,1.0,0.0,0.0,1.0,,00100,68.0,1
,,0.83,2.0,,11.0,8.0,0.415,0.0,1.0,1.0,1.0,,00200,11.0,1
1.0,21.08,5.0,3.0,,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,00000,0.0,1
2.0,25.67,3.25,2.0,1.0,2.0,4.0,2.29,0.0,1.0,1.0,1.0,0.0,00416,,1
1.0,38.92,1.665,2.0,,1.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,00000,,1
1.0,15.75,0.375,2.0,1.0,2.0,,,0.0,0.0,,0.0,0.0,00120,18.0,1
,,3.75,2.0,1.0,2.0,8.0,0.25,0.0,,1.0,1.0,0.0,00040,154.0,1
2.0,22.25,9.0,2.0,1.0,1.0,8.0,0.085,0.0,0.0,0.0,0.0,,00000,0.0,1
2.0,29.83,,2.0,,2.0,8.0,0.165,0.0,0.0,0.0,,0.0,00216,0.0,1
,,1.5,2.0,,13.0,8.0,0.875,0.0,0.0,0.0,1.0,0.0,00160,0.0,1
2.0,,4.0,3.0,3.0,3.0,,1.5,0.0,,,1.0,0.0,00120,0.0,1
2.0,31.08,1.5,3.0,3.0,13.0,8.0,0.04,0.0,0.0,0.0,,2.0,00160,0.0,1
2.0,31.83,0.04,,3.0,10.0,,0.04,0.0,0.0,0.0,0.0,0.0,,0.0,1
1.0,21.75,11.75,2.0,1.0,2.0,8.0,0.25,,0.0,0.0,,0.0,00180,0.0,1
1.0,17.92,0.54,2.0,,2.0,8.0,1.75,0.0,1.0,1.0,1.0,0.0,,5.0,1
2.0,,,2.0,1.0,,4.0,0.085,0.0,0.0,0.0,,2.0,00252,0.0,1
2.0,51.83,2.04,3.0,3.0,6.0,3.0,1.5,0.0,0.0,,0.0,0.0,00120,1.0,1
2.0,47.17,5.835,2.0,1.0,13.0,8.0,,,,0.0,,0.0,00465,150.0,1
2.0,25.83,12.835,2.0,1.0,,8.0,0.5,0.0,0.0,0.0,0.0,,,2.0,1
1.0,50.25,0.835,2.0,1.0,1.0,8.0,,0.0,0.0,0.0,1.0,0.0,00240,,1
0.0,,2.0,3.0,3.0,,4.0,,0.0,0.0,,0.0,0.0,00256,,1
1.0,37.33,2.5,2.0,1.0,7.0,4.0,0.21,0.0,0.0,0.0,0.0,0.0,00260,,1
1.0,41.58,1.04,2.0,,1.0,8.0,0.665,0.0,0.0,0.0,0.0,0.0,00240,237.0,1
1.0,,10.665,2.0,1.0,,4.0,0.085,0.0,1.0,12.0,1.0,0.0,00129,3.0,1
2.0,19.42,7.25,2.0,1.0,10.0,8.0,0.04,0.0,1.0,1.0,0.0,0.0,00100,1.0,1
1.0,17.92,10.21,2.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,00000,50.0,1
1.0,20.08,1.25,2.0,,2.0,8.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1
2.0,19.50,0.29,2.0,1.0,9.0,8.0,0.29,0.0,,0.0,0.0,0.0,00280,364.0,1
2.0,27.83,1.0,3.0,3.0,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,00176,537.0,1
2.0,17.08,3.29,2.0,1.0,7.0,,0.335,0.0,0.0,0.0,,0.0,00140,,1
,36.42,0.75,3.0,3.0,4.0,8.0,0.585,0.0,0.0,0.0,0.0,0.0,00240,3.0,1
2.0,40.58,,2.0,1.0,10.0,8.0,3.5,0.0,0.0,0.0,1.0,,00400,0.0,1
2.0,,,3.0,3.0,5.0,,,,0.0,0.0,0.0,0.0,,0.0,1
1.0,22.67,,2.0,1.0,2.0,8.0,,0.0,1.0,2.0,1.0,0.0,00200,394.0,1
1.0,25.25,,3.0,3.0,,3.0,2.0,0.0,,1.0,,0.0,,,1
2.0,,0.205,,1.0,1.0,8.0,0.04,0.0,,0.0,0.0,0.0,00280,750.0,1
2.0,35.00,3.375,2.0,1.0,2.0,4.0,8.29,0.0,0.0,,,0.0,00000,0.0,1
